old_path,wp_id,type,words,language,bucket,target_content_type,target_path,merge_canonical,reason
"/term_conditions/","15030","page","0","EMPTY/STUB","DROP-410","","","","LearnPress default T&C stub, 0 words - real terms page must be authored fresh"
"/become_a_teacher/","15029","page","0","EMPTY/STUB","DROP-410","","","","LearnPress become-instructor page (0 words)"
"/instructor/","15028","page","1","EMPTY/STUB","DROP-410","","","","LearnPress single-instructor page ([learn_press_single_instructor] only)"
"/instructors/","15027","page","1","EMPTY/STUB","DROP-410","","","","LearnPress instructor archive ([learn_press_instructors] only)"
"/courses/","15026","page","0","EMPTY/STUB","DROP-410","","","","LearnPress course archive (plugin artefact, 0 words)"
"/lp-profile/","15025","page","1","EMPTY/STUB","DROP-410","","","","LearnPress profile page ([learn_press_profile] only)"
"/lp-checkout/","15024","page","0","EMPTY/STUB","DROP-410","","","","LearnPress checkout (0 words)"
"/football-academy-brighton-2/","14724","page","185","TR","REWRITE","summerProgramme","/tr/yaz-okullari/berlitz-manchester/","","Slug says football-academy-brighton-2 but the page is Berlitz Manchester - slug/content mismatch"
"/skola-regent-gloucester-gate/","14715","page","219","TR","KEEP","summerProgramme","/tr/yaz-okullari/skola-regent-gloucester-gate/","","Root-level summer programme (219w) - must NOT be confused with the same-named university page"
"/barry-university-miami/","13970","page","189","TR","KEEP","summerProgramme","/tr/yaz-okullari/barry-university-miami/","","Root-level summer programme (189w) - must NOT be confused with the same-named university page"
"/new-york-st-peters-university/","13964","page","198","TR","KEEP","summerProgramme","/tr/yaz-okullari/new-york-st-peters-university/","","Root-level summer programme (198w) - must NOT be confused with the same-named university page"
"/los-angeles/","13957","page","190","TR","KEEP","summerProgramme","/tr/yaz-okullari/los-angeles/","","Root-level summer programme (190w) - must NOT be confused with the same-named university page"
"/tufts-university/","13951","page","186","TR","KEEP","summerProgramme","/tr/yaz-okullari/tufts-university/","","Root-level summer programme (186w) - must NOT be confused with the same-named university page"
"/university-of-middlesex-london/","13942","page","173","TR","KEEP","summerProgramme","/tr/yaz-okullari/university-of-middlesex-london/","","Root-level summer programme (173w) - must NOT be confused with the same-named university page"
"/university-of-kent/","13925","page","164","TR","KEEP","summerProgramme","/tr/yaz-okullari/university-of-kent/","","Root-level summer programme (164w) - must NOT be confused with the same-named university page"
"/grup-yaz-okullari/","13874","page","416","TR","KEEP","page","/tr/yaz-okullari/grup/","","416w group-summer-school hub, the substantive version of this pair"
"/university-of-greenwich/","13920","page","161","TR","KEEP","summerProgramme","/tr/yaz-okullari/university-of-greenwich/","","Root-level summer programme (161w) - must NOT be confused with the same-named university page"
"/abbey-college-cambridge/","13914","page","164","TR","KEEP","summerProgramme","/tr/yaz-okullari/abbey-college-cambridge/","","Root-level summer programme (164w) - must NOT be confused with the same-named university page"
"/university-of-westminster-london/","13899","page","184","TR","KEEP","summerProgramme","/tr/yaz-okullari/university-of-westminster-london/","","Root-level summer programme (184w) - must NOT be confused with the same-named university page"
"/university-college-london/","13893","page","179","TR","KEEP","summerProgramme","/tr/yaz-okullari/university-college-london/","","Root-level summer programme (179w) - must NOT be confused with the same-named university page"
"/london-kings-college/","13888","page","181","TR","REWRITE","summerProgramme","/tr/yaz-okullari/london-kings-college/","","Hero image is University-of-Aberdeen.jpg - wrong institution photo"
"/north-london-grammar-school/","13879","page","181","TR","KEEP","summerProgramme","/tr/yaz-okullari/north-london-grammar-school/","","Root-level summer programme (181w) - must NOT be confused with the same-named university page"
"/bireysel-yaz-okullari/","13521","page","529","TR","MERGE","","","/summer-schools/","Jaccard 0.41 / containment 0.78 vs /summer-schools/ - re-uses the same programme-type prose"
"/lsi-ucl-london-central/","13864","page","159","TR","KEEP","summerProgramme","/tr/yaz-okullari/lsi-ucl-london-central/","","Root-level summer programme (159w) - must NOT be confused with the same-named university page"
"/lsi-london/","13858","page","157","TR","KEEP","summerProgramme","/tr/yaz-okullari/lsi-london/","","Root-level summer programme (157w) - must NOT be confused with the same-named university page"
"/english-path-london/","13852","page","162","TR","KEEP","institution/languageSchool","/tr/dil-okullari/ingiltere/english-path-london/","","Root-level language-school branch (162w)"
"/st-giles-family-programme-london-highgate/","13846","page","170","TR","KEEP","summerProgramme","/tr/yaz-okullari/st-giles-family-programme-london-highgate/","","Root-level summer programme (170w) - must NOT be confused with the same-named university page"
"/st-giles-family-programme-london/","13840","page","166","TR","KEEP","summerProgramme","/tr/yaz-okullari/st-giles-family-programme-london/","","Root-level summer programme (166w) - must NOT be confused with the same-named university page"
"/football-sports-academy-yorkshire/","13834","page","163","TR","KEEP","summerProgramme","/tr/yaz-okullari/football-sports-academy-yorkshire/","","Root-level summer programme (163w) - must NOT be confused with the same-named university page"
"/st-giles-oxford-2/","13828","page","162","TR","KEEP","summerProgramme","/tr/yaz-okullari/st-giles-oxford/","","Root-level summer programme (162w) - must NOT be confused with the same-named university page"
"/st-giles-ucl-london/","13822","page","164","TR","KEEP","summerProgramme","/tr/yaz-okullari/st-giles-ucl-london/","","Root-level summer programme (164w) - must NOT be confused with the same-named university page"
"/st-giles-cambridge-2/","13817","page","165","TR","KEEP","summerProgramme","/tr/yaz-okullari/st-giles-cambridge/","","Root-level summer programme (165w) - must NOT be confused with the same-named university page"
"/football-academy-brighton/","13811","page","184","TR","KEEP","summerProgramme","/tr/yaz-okullari/football-academy-brighton/","","Root-level summer programme (184w) - must NOT be confused with the same-named university page"
"/business-and-finance-london/","13805","page","183","TR","KEEP","summerProgramme","/tr/yaz-okullari/business-and-finance-london/","","Root-level summer programme (183w) - must NOT be confused with the same-named university page"
"/engineering-camp-brighton/","13799","page","175","TR","KEEP","summerProgramme","/tr/yaz-okullari/engineering-camp-brighton/","","Root-level summer programme (175w) - must NOT be confused with the same-named university page"
"/ai-and-computer-science-oxford/","13789","page","180","TR","KEEP","summerProgramme","/tr/yaz-okullari/ai-and-computer-science-oxford/","","Root-level summer programme (180w) - must NOT be confused with the same-named university page"
